round,loss,recon_loss,kl_loss,num_available
1,249.65999211425782,243.8239942138672,5.835998323059082,5
10,160.9897412109375,147.03766843261718,13.95207286682129,2
20,134.1060905517578,114.28772639160157,19.8183640625,5
30,124.50182452392578,102.49352548828125,22.00829874267578,8
40,120.4621062866211,97.49480802001953,22.96729889831543,3
50,117.27674812011719,93.83188576660156,23.444861871337892,6
60,115.32973093261718,91.38375434570312,23.9459764465332,4
70,114.34870932617187,90.14255349121093,24.206156329345703,3
80,112.80726301269532,88.17498391113281,24.63227973022461,4
90,111.22619384765625,87.11083870849609,24.11535591430664,8
100,110.38085185546875,85.77538448486328,24.605466934204102,6
