round,loss,recon_loss,kl_loss,num_available,mean_staleness
1,246.41438208007813,242.22682163085938,4.1875604614257815,18,0.1
10,156.06371459960937,142.33609663085937,13.72761743774414,16,0.25
20,135.50079169921875,116.48280086669922,19.01799097290039,15,0.25
30,126.7213478515625,105.64567092285156,21.07567673034668,18,0.2
40,121.37941740722657,99.39126416015625,21.98815309448242,17,0.2
50,118.17455323486328,95.07565915527344,23.09889403076172,6,0.95
60,117.49906303710938,94.50630766601563,22.99275478210449,4,2.55
70,116.64973151855469,93.5428087890625,23.106922918701173,3,2.95
80,115.97164968261718,92.6782634765625,23.29338630981445,4,3.0
90,114.89129929199218,91.50964930419921,23.381649395751953,8,2.5
100,114.12161541748047,90.51170041503906,23.609914611816407,6,1.95
