round,loss,recon_loss,kl_loss,num_available,mean_staleness
1,463.2633948730469,462.9534127929688,0.30998228483200074,5,0.75
10,710.1932478515625,687.1080912109375,23.08515439453125,2,3.0
20,208.2493373779297,191.7034134765625,16.545923431396485,5,2.7
30,215.94965388183593,202.8801780761719,13.069475933837891,8,2.15
40,233.01371259765625,217.7286408203125,15.28507261352539,3,3.55
50,182.6317319580078,167.46431083984376,15.167421124267578,6,2.55
60,230.2994243652344,212.12242622070312,18.17699802246094,4,2.65
70,194.50355456542968,175.33918442382813,19.164369888305664,3,2.95
80,171.9812908935547,154.0066203857422,17.974669442749022,4,3.0
90,157.06426723632813,140.29509116210937,16.76917618408203,8,2.5
100,172.83401831054687,155.18055029296875,17.65346637573242,6,1.95
