round,loss,recon_loss,kl_loss,num_available,mean_staleness
1,246.41438208007813,242.22682163085938,4.1875604614257815,18,0.1
10,155.59628774414062,141.769598828125,13.826688671875,16,0.25
20,134.02714790039062,114.61272767333985,19.41441926269531,15,0.25
30,125.06816368408204,103.77944006347656,21.28872362060547,18,0.2
40,119.65846052246094,97.51730236816407,22.141157717895506,17,0.2
50,116.29532080078125,92.81894489746094,23.476375802612306,6,0.95
60,115.30940690917969,91.66632078857423,23.643086322021485,4,2.55
70,114.5350869140625,90.07301451416015,24.46207185974121,3,2.95
80,112.8302403930664,88.69621311035156,24.134026501464845,4,3.0
90,112.82835974121093,88.05839504394531,24.769965338134767,8,2.5
100,112.91649055175782,87.842154296875,25.07433620605469,6,1.95
